,blockorder,blockname,blocknumber,task,trialcount,tablerow,key,status,RT,target_button,batch,timeout,ITI,rate,rate_RT,rate_status,participant,correct,real,experience
146,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,147,157,1,2,2017,2,60000,0,472,6,0,0,2,0,1,3
147,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,148,122,1,2,5054,2,24440,0,456,6,0,0,2,0,1,3
148,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,149,114,1,2,1721,2,24440,0,522,6,0,0,2,0,1,3
149,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,150,75,2,1,1341,2,7954,0,464,6,0,0,2,1,0,3
150,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,151,164,1,1,716,1,real,0,462,6,0,0,2,1,1,3
151,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,152,12,2,1,868,2,344,0,576,6,0,0,2,1,0,3
152,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,153,5,2,1,519,2,344,0,495,6,0,0,2,1,0,3
153,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,154,130,1,2,2499,2,60000,0,590,6,0,0,2,0,1,3
154,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,155,170,1,1,685,1,real,0,524,6,0,0,2,1,1,3
155,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,156,220,1,1,1343,1,real,0,556,6,0,0,2,1,1,3
156,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,157,205,1,1,1922,1,real,0,510,6,0,0,2,1,1,3
157,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,158,141,2,1,2533,2,60000,0,509,6,0,0,2,1,0,3
158,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,159,149,1,2,5176,2,60000,0,588,6,0,0,2,0,1,3
159,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,160,125,2,1,4237,2,24440,0,510,6,0,0,2,1,0,3
160,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,161,223,1,1,2681,1,real,0,508,6,0,0,2,1,1,3
161,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,162,173,1,1,2639,1,real,0,426,6,0,0,2,1,1,3
162,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,163,27,2,1,709,2,344,0,582,6,0,0,2,1,0,3
163,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,164,153,1,2,1500,2,60000,0,478,6,0,0,2,0,1,3
164,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,165,88,2,1,3256,2,7954,0,470,6,0,0,2,1,0,3
165,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,166,28,2,1,706,2,344,0,561,6,0,0,2,1,0,3
166,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,167,47,2,1,1127,2,1055,0,444,6,0,0,2,1,0,3
167,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,168,151,1,2,1218,2,60000,0,476,6,0,0,2,0,1,3
168,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,169,160,2,1,1610,2,60000,0,533,6,0,0,2,1,0,3
169,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,170,67,2,1,2918,2,7954,0,584,6,0,0,2,1,0,3
170,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,171,70,2,1,1028,2,7954,0,528,6,0,0,2,1,0,3
171,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,172,109,2,1,1334,2,24440,0,548,6,0,0,2,1,0,3
